crawlingpage_address,crawlingpage_name,crawlingpage_ratings,crawlingpage_reviews
"6167 Jarvis Ave, Newark, CA, USA",1. Oasis Palace Restaurant,4/5,"
(, - 1 review)
"
"411 Main Street, Pleasanton, CA, United States",2. Frontier Spice Indian Restaurant And Catering,5/5,"
(, - 7 reviews)
"
"856 W El Camino Real, Mountain View, CA, United States",3. Chennai Kings,5/5,"
(, - 6 reviews)
"
"326 Commercial Street, San Jose, CA, USA",4. The Everest Momo,5/5,"
(, - 19 review)
"
"1143 San Carlos Ave, San Carlos, California 94070, United States",5. Saffron Indian Bistro,none,"
(Write a Review)
"
"834 Blossom Hill Road, San Jose, CA 95123, United States",6. Chaat Cafe,none,"
(Write a Review)
"
"7225 Healdsburg Ave, Sebastopol, CA, United States",7. Marigold Indian Bistro,5/5,"
(, - 4 reviews)
"
"560 North Abel Street, Milpitas, CA 95035, United States",8. Vedas ,none,"
(Write a Review)
"
"Fremont, California, USA",9. Masala Theory,none,"
(Write a Review)
"
"15930 Hesperian Blvd, San Lorenzo, CA , United States",10. Flavor Of India North And South Cuisine,none,"
(Write a Review)
"
"5774 Mowry School Rd, Newark, California, United States",11. Mehran Restaurant And Catering,none,"
(Write a Review)
"
"5959 Shellmound St, Emeryville, California, United States",12. Wazwan Cuisine Of India,none,"
(Write a Review)
"
"800 California St, Mountain View, California 94041, United States",13. Shivas Indian Restaurant,none,"
(Write a Review)
"
"71 Stevenson Street, Stevenson Street, San Francisco, California, United States",14. Dabba,none,"
(Write a Review)
"
"20007 Stevens Creek Blvd, Cupertino, CA 95014, United States",15. Shan Restaurant,none,"
(Write a Review)
"
"925 Blossom Hill Rd, San Jose, California, USA",16. Curry Roots,none,"
(Write a Review)
"
"3037 Pleasanton Avenue, Pleasanton, CA, United States",17. Vedas Indian Restaurant,none,"
(Write a Review)
"
"3295 Woodward Ave, Santa Clara, California, United States",18. Dil Se Eatery,5/5,"
(, - 2 reviews)
"
"2634 Alum Rock Ave, San Jose, CA 95116, United States",19. Jewel Of India Restaurant,none,"
(Write a Review)
"
"4741 W Shaw Ave, Fresno, CA, United States",20. Shan-E-Punjab Punjabi Cuisine,5/5,"
(, - 3 reviews)
"
"258 Divisadero St, San Francisco, CA, United States",21. Indian Paradox,5/5,"
(, - 3 reviews)
"
"3180 Santa Rita Rd, Pleasanton, California, USA",22. Sri Venkatesh Bhavan,5/5,"
(, - 2 reviews)
"
"3064 El Camino Real, Santa Clara, CA 95035, United States",23. Thali Indian Vegetarian Restaurant,none,"
(Write a Review)
"
"522 Jones St, San Francisco, California, USA",24. Red Chilli,none,"
(Write a Review)
"
"5134 Stevens Creek Blvd, San Jose, CA, United States",25. New Tandoori Cafe,5/5,"
(, - 5 reviews)
"
"659 Valencia Street, San Francisco, CA, United States",26. Curry Up Now Food Truck,none,"
(Write a Review)
"
"4238 18th St, San Francisco, CA, United States",27. CurryBoyzz Indian Restaurant,5/5,"
(, - 3 reviews)
"
"810 Pacific Ave, Santa Cruz, CA, USA",28. Mumbai Delights,5/5,"
(, - 1 review)
"
"21267 Stevens Creek Freeway, Cupertino, CA, United States",29. Chaat House Indian Restuarant,5/5,"
(, - 2 reviews)
"
"40827 Fremont Blvd, Fremont, California, USA",30. Bawarchi,none,"
(Write a Review)
"
"288 Castro St, Mountain View, CA, United States",31. Park Balluchi Indian Restaurant,5/5,"
(, - 5 reviews)
"
"2725 El Camino Real, Santa Clara, CA, United States",33. KITCHEN OF KUCHIPUDI,none,"
(Write a Review)
"
"2713 Whitson St, Selma, California, United States",34. Asoka Indian Cuisine Restaurant,5/5,"
(, - 2 reviews)
"
"320 3rd St, San Francisco, California, United States",35. Chaat Corner Formerly Cafe Chaat,none,"
(Write a Review)
"
"1819 E Dakota Ave, Fresno, CA 93726, USA",36. Standard Sweets & Spices,5/5,"
(, - 5 reviews)
"
"3841 Railroad Ave, Pittsburg, CA, United States",37. Mehran Indian Resturant,5/5,"
(, - 2 reviews)
"
"1645 Solano Avenue, Berkeley, California, United States",38. Himalayan Tandoori And Curry House,5/5,"
(, - 4 reviews)
"
"160 Ellis Street, San Francisco, CA 94102, United States",39. New Delhi Restaurant,none,"
(Write a Review)
"
"4001 18th St, San Francisco, CA 94114, United States",40. Kasa Indian Eatery,none,"
(Write a Review)
"
"4555 Hopyard Road, Pleasanton, CA, United States",41. Curry Kona- Fusion Food,5/5,"
(, - 3 reviews)
"
"856 San Pablo Avenue, Albany, CA, United States",42. Indo Nepalease Cuisine,5/5,"
(, - 3 reviews)
"
"163 2nd St #100, San Francisco, CA",43. Tava Kitchen,none,"
(Write a Review)
"
"2327 Shattuck Ave, Berkeley, CA 94704, United States",44. Venus,none,"
(Write a Review)
"
"250 E Java Dr, Sunnyvale, California 94089, United States",45. Vara Indian Restaurant,none,"
(Write a Review)
"
"28 2nd Street, San Francisco, CA 94105, United States",46. Mehfil Indian Cuisine,none,"
(Write a Review)
"
"24989 Santa Clara St, Hayward, CA, United States",47. The Golden Peacock Restaurant,none,"
(Write a Review)
"
"9703 Soda Bay Rd, Kelseyville, CA, United States",48. Arti Cafe,5/5,"
(, - 13 reviews)
"
"326 Commercial St, San Jose, California, United States",49. Nyenya-Batta,5/5,"
(, - 4 reviews)
"
"131 Ranch Drive, Milpitas, California, USA",50. Telangana Ruchulu,none,"
(Write a Review)
"
"2160 University Ave, Berkeley, CA, USA",51. The Tandoori Nite,none,"
(Write a Review)
"
"3077 El Camino Real, Santa Clara, CA 95051, United States",52. Real Ice Cream,none,"
(Write a Review)
"
"2700 W El Camino Real, Mountain View, CA, United States",53. The Menu Indian Cuisine,none,"
(Write a Review)
"
"29286 Union City Blvd, Union City, CA 94587, United States",54. Kabila Restaurant,none,"
(Write a Review)
"
"565 Abrego Street, Monterey, CA, United States",55. Ambrosia India Bistro,none,"
(Write a Review)
"
"948 Clay Street, Oakland, CA, USA",57. Annapurna Restaurant,5/5,"
(, - 2 reviews)
"
"1750 E Los Angeles Ave, Simi Valley, California, United States",58. Indian Haweli,5/5,"
(, - 3 reviews)
"
"6052 Stevenson Blvd, Fremont, California, USA",59. Kitchen Of Kuchipudi,5/5,"
(, - 2 reviews)
"
"2656 Bridgeway, Sausalito, CA, United States",61. Avatar's Restaurant,5/5,"
(, - 5 reviews)
"
"3352 Mowry Ave, Fremont, CA, United States",62. Chutney Restaurant,none,"
(Write a Review)
"
"21267 Stevens Creek Blvd, Ste 320, Cupertino, CA 95014, United States",64. Sitar Express,none,"(Write a Review)"
"1386 9th Avenue, San Francisco, California, United States",65. Gorkha Kitchen,5/5,"(,- 2 reviews)"
"Fremont, CA, United States",66. TAJ E Chaat,none,"(Write a Review)"
"Heather Dr, San Pablo, California, USA",67. Naan-Stop Curry,none,"
(Write a Review)
"
"5348 W Spruce Ave, Fresno, CA, USA",68. Star Indian Cuisine,none,"
(Write a Review)
"
"41031 Fremont Blvd, Fremont, California, USA",69. Lovely Sweets And Snacks,none,"
(Write a Review)
"
"2948 20th Street, San Francisco, CA, United States",71. Spices And Aroma Supperclub,5/5,"
(, - 3 reviews)
"
"1177 W El Camino Real, Sunnyvale, CA 94087, United States",72. Madras Cafe,none,"
(Write a Review)
"
"239 Main St, Pleasanton, California, United States",73. Mirch Restaurant,none,"
(Write a Review)
"
"1427 Branham Lane, San Jose, CA 95118, United States",74. Kokilas Kitchen,none,"
(Write a Review)
"
"1007 Valencia St, San Francisco, California, United States",76. Udupi Palace,5/5,"
(, - 5 reviews)
"
"2317 Oak Grove Rd, Walnut Creek, CA, USA",77. Patra Indian Grill,5/5,"
(, - 3 reviews)
"
"507 4th Street, Santa Rosa, CA, United States",78. Touch Of India,4/5,"
(, - 4 reviews)
"
"1103 E El Camino Real, Sunnyvale, CA, United States",79. Sangeetha Restaurants,none,"
(Write a Review)
"
"1288 West El Camino Real, Mountain View, CA, United States",80. Namaste Nepal Food Truck,5/5,"
(, - 3 reviews)
"
"1269 MacArthur Blvd, San Leandro, California, United States",81. Creasian Taste Of The Himalayas,none,"
(Write a Review)
"
"2580 N Main St, Walnut Creek, CA, United States",82. Saroor Indian Cuisine,5/5,"
(, - 9 reviews)
"
"715 East 8th Street, Oakland, CA, USA",83. Golden Lotus Vegan,none,"
(Write a Review)
"
"810 McClelland Drive, Windsor, CA, United States",84. Himalayan Restaurant Taste Of Nepal And India,5/5,"
(, - 4 reviews)
"
"524 Van Ness Avenue, San Francisco, CA, United States",85. August 1 Five Restaurant,5/5,"
(, - 2 reviews)
"
"895 Willow St, San Jose, CA 95125, United States",86. New Indian Cuisine,none,"
(Write a Review)
"
"1600 Saratoga Ave, San Jose, California, USA",87. Moms Pot Biryani,4/5,"
(, - 2 reviews)
"
"2341 El Camino Real, Santa Clara, California, United States",88. Sagar Vegstaurant,none,"
(Write a Review)
"
"43852 Pacific Commons Boulevard, Fremont, California, USA",90. Rangoli Flavors Of India,5/5,"
(, - 5 reviews)
"
"2025 Santa Rita Road, Pleasanton, CA, USA",91. Curry Cravings,5/5,"
(, - 2 reviews)
"
"71 Stevenson Street, Stevenson Street, San Francisco, California, United States",92. Dabba,none,"
(Write a Review)
"
"420 South Main Street, Milpitas, CA 95035, United States",93. Milan Indian Cuisine,none,"
(Write a Review)
"
"725 S Fair Oaks Ave, Sunnyvale, California, United States",94. Arka Indian Restaurant,none,"
(Write a Review)
"
"2574 Esplanade, Chico, California, USA",95. Priya Indian Cuisine,5/5,"
(, - 4 reviews)
"
"377 Santana Row, San Jose, California, USA",98. Amber India Santanarow,4/5,"
(, - 3 reviews)
"
"3325 Walnut Avenue, Fremont, CA 94538, United States",99. Shalimar Restaurant,none,"
(Write a Review)
"
"3522 Arden Road, Hayward, CA 94545, United States",100. Pot Pie Paradise,none,"
(Write a Review)
"
"39277 Cedar Blvd, Newark, California, United States",101. Spice Kitchen,none,"
(Write a Review)
"
"123 2nd Street, San Francisco, CA, United States",102. Avatars Punjabi Burrito,none,"
(Write a Review)
"
"1214 Apollo Way, Sunnyvale, CA 94085, United States",104. Sneha South And North Indian Restaurant,none,"
(Write a Review)
"
"2860 Quimby Road, San Jose, CA 95148, United States",105. Raj Palace,none,"
(Write a Review)
"
"2550 Berryessa Rd, San Jose, CA 95132, United States",106. Bay Leaf Cuisine Of India,none,"
(Write a Review)
"
"5316 College Ave, Oakland, California, USA",107. Khana Peena,5/5,"
(, - 4 reviews)
"
"724 Main Street, Half Moon Bay, CA, United States",109. ARK North Indian Grill,5/5,"
(, - 6 reviews)
"
"39070 Fremont Blvd, Fremont, California, USA",111. Curry Pizza,5/5,"
(, - 3 reviews)
"
"3402 El Camino Real, Santa Clara, CA 95051, United States",112. Radhe Chat,none,"
(Write a Review)
"
"4166 24th St, San Francisco, CA, United States",113. Holy Kitchen,none,"
(Write a Review)
"
"5942 San Pablo Ave, Oakland, CA, United States",114. Namaste Pizza,5/5,"
(, - 3 reviews)
"
"480 San Ramon Valley Blvd, Danville, CA, United States",115. Sultans Kebab,5/5,"
(, - 3 reviews)
"
"407 Ellis St, San Francisco, California, USA",116. NeWa Indian Restaurant,5/5,"
(, - 2 reviews)
"
"Newark, California, United States",117. Ammas Restaurant,none,"
(Write a Review)
"
"193 S Murphy Ave, Sunnyvale, California, United States",118. Rasams Indian Restaurant,none,"
(Write a Review)
"
"Mountain View, California, United States",119. Chaat Party,none,"
(Write a Review)
"
"489 Mission St, San Francisco, CA, United States",120. Zante Pizza  Indian Cuisine,none,"
(Write a Review)
"
"212 Ranch Dr, Milpitas, CA, USA",121. Aroma Dining And Banquets,5/5,"
(, - 6 reviews)
"
"1373 Solano Ave, Albany, CA 94706, United States",122. Delhi Diner,none,"
(Write a Review)
"
"39407 Fremont Blvd, Fremont, CA, United States",124. Bango's - Bangladeshi Restaurant,5/5,"
(, - 3 reviews)
"
"2598 Telegraph Avenue, Berkeley, California, USA",127. MT Everest Restaurant Indian Cuisine,5/5,"
(, - 2 reviews)
"
"30 E Santa Clara St, San Jose, California, United States",128. Curry Pundits,none,"
(Write a Review)
"
"1150 El Camino Real, San Bruno, CA, United States",129. Curry Express,5/5,"
(, - 6 reviews)
"
"209 Park Rd, Burlingame, CA, United States",130. RASA  Contemporary Indian Restaurant,none,"
(Write a Review)
"
"100 West American Canyon Road, American Canyon, California, United States",132. All Spice Indian Restaurant,5/5,"
(, - 4 reviews)
"
"98 S Second St, San Jose, CA, United States",133. M Asian Fusion Restaurant,5/5,"
(, - 3 reviews)
"
" 3988 Washington Blvd Fremont, California, CA",134. Biryani Bowl,5/5,"
(, - 4 reviews)
"
"4555 Hopyard Road, Pleasanton, CA, United States",136. Thali Restaurant,none,"
(Write a Review)
"
"41043 Fremont Blvd, Fremont, CA, United States",137. Dosa Place,none,"
(Write a Review)
"
"909 4th St, San Rafael, California, United States",138. Taj Of Marin,none,"
(Write a Review)
"
"5179 Telegraph Avenue, Oakland, CA, United States",141. Juhu Beach Club,5/5,"
(, - 3 reviews)
"
